match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,not,14,14,baseline,0
1,verde_addition,not,18,17,baseline,1
2,verde_addition,not,19,19,baseline,2
3,verde_addition,not,20,20,baseline,3
4,verde_addition,not,21,21,baseline,4
5,verde_addition,with_equal_cost,22,22,baseline,5
6,verde_addition,with_equal_cost,22,22,baseline,6
7,verde_addition,with_equal_cost,23,23,baseline,7
8,verde_addition,with_equal_cost,23,23,baseline,8
9,verde_addition,with_different_cost,23,22,baseline,9
10,verde_addition,with_equal_cost,24,24,baseline,10
11,verde_addition,with_equal_cost,24,24,baseline,11
12,verde_addition,with_equal_cost,24,24,baseline,12
13,verde_addition,with_different_cost,24,23,baseline,13
14,verde_addition,with_different_cost,25,24,baseline,14
15,verde_addition,with_different_cost,26,25,baseline,15
16,verde_addition,with_different_cost,26,25,baseline,16
17,verde_addition,with_different_cost,26,25,baseline,17
18,verde_addition,not,27,26,baseline,18
0,verde_addition,not,14,14,verde,0
1,verde_addition,not,18,17,verde,1
2,verde_addition,not,19,19,verde,2
3,verde_addition,not,20,20,verde,3
4,verde_addition,not,21,21,verde,4
5,verde_addition,with_equal_cost,22,22,verde,7
6,verde_addition,with_equal_cost,22,22,verde,6
7,verde_addition,with_equal_cost,23,23,verde,8
8,verde_addition,with_equal_cost,23,23,verde,9
9,verde_addition,with_different_cost,23,22,verde,5
10,verde_addition,with_equal_cost,24,24,verde,14
11,verde_addition,with_equal_cost,24,24,verde,12
12,verde_addition,with_equal_cost,24,24,verde,11
13,verde_addition,with_different_cost,24,23,verde,10
14,verde_addition,with_different_cost,25,24,verde,13
15,verde_addition,with_different_cost,26,25,verde,17
16,verde_addition,with_different_cost,26,25,verde,16
17,verde_addition,with_different_cost,26,25,verde,15
18,verde_addition,not,27,26,verde,18
