cost,violations,props,vl,vl_spec_file,matches,set,rank,has_match
15,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m00_c015_vl.json,0,baseline,0,True
17,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m01_c017_vl.json,1,baseline,1,True
20,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,mean).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m02_c020_vl.json,2,baseline,2,True
21,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_sum': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,sum).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'aggregate': 'sum', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m03_c021_vl.json,3,baseline,3,True
22,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,mean).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m04_c022_vl.json,7,baseline,4,True
22,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_median': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,median).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'aggregate': 'median', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m05_c022_vl.json,4,baseline,5,True
23,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_sum': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,sum).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'sum', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m06_c023_vl.json,8,baseline,6,True
23,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_max': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,max).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'aggregate': 'max', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m07_c023_vl.json,5,baseline,7,True
23,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_min': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,min).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'quantitative', 'aggregate': 'min', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m08_c023_vl.json,6,baseline,8,True
24,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_median': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 2, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 2, 'weight': 6, 'cost_contrib': 12}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'type(v_v,e0,nominal).', 'aggregate(v_v,e1,median).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""zero_hr_contract_all_pct"").', 'zero(v_v,e1).', 'mark(v_v,bar).', 'type(v_v,e1,quantitative).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'quantitative', 'aggregate': 'median', 'field': 'zero_hr_contract_all_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_01a1_baseline_m09_c024_vl.json,13,baseline,9,True
