match,match_type,crossed,b_cost,v_cost,set,rank
0,verde_addition,with_equal_cost,30,30,baseline,0
1,verde_addition,with_equal_cost,30,30,baseline,1
2,verde_addition,with_equal_cost,31,31,baseline,2
3,verde_addition,with_equal_cost,31,31,baseline,3
4,verde_addition,with_equal_cost,31,31,baseline,4
5,verde_addition,with_equal_cost,32,32,baseline,5
6,verde_addition,with_different_cost,32,31,baseline,6
7,verde_addition,not,33,32,baseline,7
8,verde_addition,with_different_cost,34,33,baseline,8
9,verde_addition,with_different_cost,34,33,baseline,9
10,verde_addition,with_equal_cost,34,34,baseline,10
11,verde_addition,with_equal_cost,34,34,baseline,11
12,verde_addition,with_equal_cost,35,35,baseline,12
13,verde_addition,with_different_cost,35,34,baseline,13
14,verde_addition,with_equal_cost,35,35,baseline,14
15,verde_addition,with_equal_cost,35,35,baseline,15
16,verde_addition,with_equal_cost,35,35,baseline,16
17,verde_addition,with_different_cost,35,34,baseline,17
18,verde_addition,with_equal_cost,35,35,baseline,18
0,verde_addition,with_equal_cost,30,30,verde,1
1,verde_addition,with_equal_cost,30,30,verde,0
2,verde_addition,with_equal_cost,31,31,verde,4
3,verde_addition,with_equal_cost,31,31,verde,2
4,verde_addition,with_equal_cost,31,31,verde,3
5,verde_addition,with_equal_cost,32,32,verde,6
6,verde_addition,with_different_cost,32,31,verde,5
7,verde_addition,not,33,32,verde,7
8,verde_addition,with_different_cost,34,33,verde,9
9,verde_addition,with_different_cost,34,33,verde,8
10,verde_addition,with_equal_cost,34,34,verde,13
11,verde_addition,with_equal_cost,34,34,verde,12
12,verde_addition,with_equal_cost,35,35,verde,19
13,verde_addition,with_different_cost,35,34,verde,11
14,verde_addition,with_equal_cost,35,35,verde,16
15,verde_addition,with_equal_cost,35,35,verde,17
16,verde_addition,with_equal_cost,35,35,verde,15
17,verde_addition,with_different_cost,35,34,verde,10
18,verde_addition,with_equal_cost,35,35,verde,14
