cost,violations,props,vl,vl_spec_file,matches,set,rank,has_match
27,"{'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_raw': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m00_c027_vl.json,0.0,baseline,0,True
28,"{'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'x_y_raw': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m01_c028_vl.json,1.0,baseline,1,True
29,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e0,y).', 'channel(v_v,e1,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'color': {'type': 'nominal', 'field': 'role'}, 'x': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m02_c029_vl.json,4.0,baseline,2,True
29,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'stack_zero': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e0,y).', 'channel(v_v,e1,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,zero).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'color': {'type': 'nominal', 'field': 'role'}, 'x': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m03_c029_vl.json,6.0,baseline,3,True
29,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e1,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'color': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'x': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m04_c029_vl.json,2.0,baseline,4,True
29,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'stack_zero': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e1,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,zero).']","{'mark': 'bar', 'encoding': {'color': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'x': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m05_c029_vl.json,7.0,baseline,5,True
30,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'stack_normalize': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e1,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,normalize).']","{'mark': 'bar', 'encoding': {'color': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'x': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m06_c030_vl.json,7.0,baseline,6,True
30,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_x': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'stack_normalize': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e2,x).', 'channel(v_v,e0,y).', 'channel(v_v,e1,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,normalize).']","{'mark': 'bar', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'color': {'type': 'nominal', 'field': 'role'}, 'x': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m07_c030_vl.json,6.0,baseline,7,True
31,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e2,y).', 'channel(v_v,e1,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'color': {'type': 'nominal', 'field': 'role'}, 'y': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m08_c031_vl.json,10.0,baseline,8,True
31,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'stack_zero': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e2,y).', 'channel(v_v,e1,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,zero).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'color': {'type': 'nominal', 'field': 'role'}, 'y': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m09_c031_vl.json,17.0,baseline,9,True
31,"{'c_d_tick': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,tick).']","{'mark': 'tick', 'encoding': {'color': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'nominal', 'field': 'role'}, 'y': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m10_c031_vl.json,8.0,baseline,10,True
31,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'stack_zero': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,zero).']","{'mark': 'bar', 'encoding': {'color': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'nominal', 'field': 'role'}, 'y': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m11_c031_vl.json,14.0,baseline,11,True
31,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e2,mean).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m12_c031_vl.json,13.0,baseline,12,True
32,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_sum': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e2,sum).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'aggregate': 'sum', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m13_c032_vl.json,15.0,baseline,13,True
32,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'stack_normalize': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e0,x).', 'channel(v_v,e2,y).', 'channel(v_v,e1,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,normalize).']","{'mark': 'bar', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'color': {'type': 'nominal', 'field': 'role'}, 'y': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m14_c032_vl.json,17.0,baseline,14,True
32,"{'c_d_no_overlap_bar': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'continuous_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_color': {'num': 1, 'weight': 6, 'cost_contrib': 6}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'stack_normalize': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'channel(v_v,e1,x).', 'channel(v_v,e2,y).', 'channel(v_v,e0,color).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'mark(v_v,bar).', 'type(v_v,e2,quantitative).', 'stack(v_v,normalize).']","{'mark': 'bar', 'encoding': {'color': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'nominal', 'field': 'role'}, 'y': {'type': 'quantitative', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m15_c032_vl.json,14.0,baseline,15,True
32,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_mean': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e2,mean).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'aggregate': 'mean', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m16_c032_vl.json,12.0,baseline,16,True
33,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_sum': {'num': 1, 'weight': 2, 'cost_contrib': 2}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'x_y_fields_order': {'num': 1, 'weight': 1, 'cost_contrib': 1}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e2,sum).', 'channel(v_v,e1,x).', 'channel(v_v,e0,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'y': {'type': 'nominal', 'field': 'region'}, 'x': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'aggregate': 'sum', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m17_c033_vl.json,16.0,baseline,17,True
33,"{'aggregate': {'num': 1, 'weight': 4, 'cost_contrib': 4}, 'aggregate_median': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'continuous_size': {'num': 1, 'weight': 1, 'cost_contrib': 1}, 'd_d_point': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'encoding': {'num': 3, 'weight': 0, 'cost_contrib': 0}, 'encoding_field': {'num': 3, 'weight': 6, 'cost_contrib': 18}, 'nominal_x': {'num': 1, 'weight': 3, 'cost_contrib': 3}, 'nominal_y': {'num': 1, 'weight': 0, 'cost_contrib': 0}, 'type_n': {'num': 2, 'weight': 2, 'cost_contrib': 4}, 'type_q': {'num': 1, 'weight': 0, 'cost_contrib': 0}}","['view(v_v).', 'encoding(v_v,e0).', 'encoding(v_v,e1).', 'encoding(v_v,e2).', 'type(v_v,e0,nominal).', 'type(v_v,e1,nominal).', 'aggregate(v_v,e2,median).', 'channel(v_v,e0,x).', 'channel(v_v,e1,y).', 'channel(v_v,e2,size).', 'field(v_v,e0,""region"").', 'field(v_v,e1,""role"").', 'field(v_v,e2,""vacancies_pct"").', 'zero(v_v,e2).', 'type(v_v,e2,quantitative).', 'mark(v_v,point).']","{'mark': 'point', 'encoding': {'x': {'type': 'nominal', 'field': 'region'}, 'y': {'type': 'nominal', 'field': 'role'}, 'size': {'type': 'quantitative', 'aggregate': 'median', 'field': 'vacancies_pct', 'scale': {'zero': True}}}}",trial_06_st.exp_02a_baseline_m18_c033_vl.json,,baseline,18,False
